,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",y,missing_values,missing_ratio
1890,1000000,NGC 1560,0.8596793506072806,81.90768681579345,16263.48525773626,0.8339148055433135,14.43112427965773,9.93849952280487,0.863512529461229,0.6996939358880043,6901.398198631176,67.08740264467372,131.34097339827403,15.524939284463713,4309.838955192202,482.3321979882345,77.30909109599422,83.75006614830781,682.9072812187991,62.99173130442895,300.62049007694463,342.3966768670035,10.505249475907068,10.522231962871498,12.93760800004566,12.846062335352515,70.8093054723834,84.4234914679785,5.268210877697547,0.05508667937063627,3,0.037037037037037035
2156,1001000,NGC 1560,0.8889985317016054,76.2184187818697,35323.596650906744,0.9674234361613914,15.404303551060176,11.57697126700523,0.8235467212881717,0.6902882460433872,6867.710393792606,68.02018577111586,122.38339859451777,14.532011959442125,4810.172025868354,479.82723661727823,74.17385389738924,80.57421979891345,711.297211897823,69.39728495090776,310.1112428152547,324.34632166628836,8.985787175316457,10.433101862795214,14.331752789941651,11.482575963522393,78.896078914079,85.28445899475537,4.423818619166656,0.05283517293561346,43,0.5308641975308642
2283,1002001,NGC 1560,0.9282868772038644,75.45239927975183,46937.90161950953,0.7754198329608629,11.690451010753716,10.945551628861418,0.7329197434215778,0.6550902806369392,7382.943908117694,74.95464662914725,118.70224725376629,19.946494072345203,4204.17584899785,476.03333232752715,70.4998713633515,82.37413534489932,711.5571513650375,68.71846750631681,259.78593345048165,287.64771140967275,11.878850925763151,9.472831130956726,15.768216260947852,14.82597724602211,81.39265598917906,88.62581698727377,4.214059163415784,0.05272815769517647,43,0.5308641975308642
2386,1003002,NGC 1560,0.8610701495105673,82.159035911866,24539.579566691835,0.9229147506740254,14.010306084982641,9.504906839252676,0.9133058172213222,0.6612131443576876,7074.254955136845,76.20702726847193,114.55068844562187,21.204960737172087,4520.892381078917,510.6102168314168,76.07694819598251,83.42085251301413,676.4295860951114,54.673528017807854,240.80561120190663,272.9570703942162,10.31926833890949,9.61202155437902,16.11907203378589,13.452714799100097,64.71699685869766,88.88382390170315,4.90265951382746,0.052577298342911694,43,0.5308641975308642
2684,1004004,NGC 1560,0.9166231449493564,75.59812301371029,28312.082996719622,0.9931709881192256,13.314752566064325,10.257061976765982,0.8893349933443999,0.7304789375021677,6929.257357734456,80.16094673041312,140.81932058034604,20.158845347883954,4553.137704816601,518.4200474595617,76.21448586267965,74.27241955749041,730.906356964153,66.18922016899106,241.4122826779436,327.96530077128193,12.73879458193559,9.950035639345367,12.325395715336454,13.528395062587721,63.96042112222904,97.01991058912769,5.217917678694704,0.052570646142123915,43,0.5308641975308642
2760,1005006,NGC 1560,0.9080954812403276,75.35480908641506,40377.68697878974,0.8435416228512325,14.52997757412692,9.463409767571724,0.8330790383900919,0.7812222827813011,7312.162170369511,76.2785200396127,123.10173820000608,20.81177258526109,4778.248155918984,514.3590565959008,70.99587591003893,80.57051506467728,703.2408416647861,54.11847082375402,250.2250662878436,368.6592757434065,10.20804595612736,11.560344089047625,13.470503318941235,14.855918599285614,77.77763812794853,97.70727226759865,4.103824056790359,0.05250737879122491,3,0.037037037037037035
2983,1006009,NGC 1560,0.9372216985509894,84.48768805353653,24971.044849184786,0.9117237280436242,11.7898372404822,9.783679989989851,0.8480859347920605,0.8502995842167596,7116.152834697925,75.97285303312857,117.38187964176636,15.108887017654093,4652.8815323614335,544.3748243132762,76.94365351202111,81.00334451385946,734.2242875959957,71.77686168034381,292.0852192750469,371.8435074634532,9.336712466525736,10.822119089525346,12.153024056734765,13.668220413816798,82.78605426088475,86.25638377776846,2.3750167826206896,0.050515405017564914,38,0.4691358024691358
3106,1007012,NGC 1560,0.8956562558002904,78.29294619704456,39158.41893779946,0.9113472559474924,13.87459936897396,11.45750294663728,0.8026984392442886,0.7829885780688127,7053.534196845091,65.06415499469097,102.84153700963972,16.064131456316932,5128.381224507282,534.0335980466376,79.7553137654112,79.92851900927567,705.7491048024974,62.194638071384354,243.5294520502517,283.6004939916319,10.913211480712672,12.108965266206555,15.613934290915573,13.029074646729455,77.04281897092075,83.33879097463544,6.763715850996302,0.05049320473731711,38,0.4691358024691358
3175,1008016,NGC 1560,0.9174118343404276,80.43220633086055,32533.243946369294,0.9454801804753704,13.77984727703378,9.478206764181909,0.8134030331869749,0.7312411092424825,7288.061537852169,63.42130994192846,75.63983506009019,15.303955497553446,4749.124980814209,534.0855915828504,78.79150647754891,86.69822989091179,728.6784293568004,69.14662752916685,192.8517873209851,330.83056683310207,9.634947455003287,11.773470596713848,13.534826424954051,14.171727846247634,83.94474436235649,87.31359288570745,5.554401821441755,0.050491254598271966,38,0.4691358024691358
3283,1009020,NGC 1560,0.8912075192286506,76.91674209500434,16700.204080238174,0.8944484240670351,15.082947189411092,12.03148074046187,0.8988361863876384,0.8844704387052227,7933.789932139469,67.2610397126678,124.86146893784081,20.880868488504923,4853.272072928789,556.1078288765269,75.52727663967883,80.6090620326074,695.8139627252359,78.75369113698014,221.4714370308017,250.52006472375973,10.360196850490283,11.002696169724775,14.830958293702025,15.637200463173714,71.39502945870396,109.03883716497046,6.944159472917418,0.05056934119440072,38,0.4691358024691358
3413,1010025,NGC 1560,0.9827966486580882,80.05807727091114,28361.507533291024,0.911770832453333,15.386140470775935,10.05836995072858,0.8709989022833504,0.8160003878285205,7455.0054710725135,65.612046986434,100.52064369314144,20.314648536860744,4796.375544054417,554.4919082781141,77.98944282992102,75.41759315590446,717.5159801371533,74.88236433536319,201.4904541224793,298.37537892199697,12.353893464185257,10.68907474379477,13.498480724509035,14.25063596153,83.36983558846414,97.04773636366556,5.556658455952633,0.05065582894862186,3,0.037037037037037035
3485,1011030,NGC 1560,0.9298414221605724,82.59701160953209,30292.36640775332,0.9822560536710648,14.91344326405764,12.126870018990793,0.8370137802946311,0.6977999623346658,7573.8496683335925,79.81455294599384,114.76603960254693,14.980660198983006,5112.6011716245175,595.3354570798208,73.99034197364676,79.53670481018492,756.9949559665438,43.256444295532745,162.73817795586373,276.46622191373376,12.489645175168093,9.658630564659687,15.416477506359445,13.596984532863376,84.38728830807338,95.09864779365536,4.661402253496117,0.04185857371019608,3,0.037037037037037035
3693,1014049,NGC 1560,0.9166824398411904,80.30699936386856,16741.993763101367,0.99792499103429,14.498516619832527,10.511889414683543,0.8161938907226925,0.7975914865859686,7993.3235021812025,79.22460729794676,64.12819969615006,21.89955208367661,5357.850683643222,631.3688502481177,82.2245703477752,86.62481753954756,780.964371137023,61.33823690054077,182.11567526127976,296.34473051542943,9.053485149690314,11.088757275544868,17.353524168511335,16.824594163602267,81.96871485642673,91.46187083275629,5.408654819635972,0.03627431200741826,3,0.037037037037037035
3850,1015056,NGC 1560,1.0383756272551776,78.42158290069672,25044.46219887165,0.9704449905134568,16.49568209944736,12.336584839993675,0.8973443723269621,0.90481441894778,7825.353936220841,73.4432139167093,83.77882270953965,23.522831102130734,5542.8092491545995,649.4930579898445,80.52319158194317,87.12255048998938,686.7835621504685,72.28452772680117,191.90961411993743,304.98658849698387,10.031441027248238,11.133318920689518,14.854022692591169,14.451712441622114,89.78601234448747,110.91457013151465,5.345480719139323,0.033303632673714945,3,0.037037037037037035
